Date suspended,Suspension length,Name,Position,Team at the time of suspension,Reason
2019-03-01,Indefinite,David Irving,DL,Dallas Cowboys,Violating the substance policies
2019-02-26,Indefinite,Randy Gregory,DE,Dallas Cowboys,Violating the substance policies
2018-12-20,Indefinite,Josh Gordon,WR,New England Patriots,Violating the substance policies
2018-12-14,Indefinite,Martavis Bryant,WR,Oakland Raiders,Violating the substance policies
2018-12-07,4 games,Darron Lee,LB,New York Jets,Violating the substance policies
2018-12-04,10 games,Kyle Nelson,LS,San Francisco 49ers,Violating the substance policies
2018-11-26,1 game,Leonard Fournette,RB,Jacksonville Jaguars,Fighting Buffalo Bills defensive end Shaq Lawson during a game
2018-10-18,3 games,Terrance Williams,WR,Dallas Cowboys,Violating the substance policies
2018-10-02,8 games,Mychal Kendricks,LB,Seattle Seahawks,"Violation of the league's personal conduct policy, stemming from a guilty plea to insider trading"
2018-09-01,4 games,Daryl Worley,CB,Oakland Raiders,Violating the substance policies
2018-08-21,4 games,Jimmy Smith,CB,Baltimore Ravens,Violation of the league's personal conduct policy
2018-08-15,1 game,Carlos Henderson,WR,Denver Broncos,Violating the substance policies
2018-08-12,1 game,Jalen Ramsey,CB,Jacksonville Jaguars,Violation of team rules
2018-08-11,1 game,Kevin Pierre-Louis,LB,New York Jets,Violating the substance policies
2018-07-27,2 games,ArDarius Stewart,WR,New York Jets,Violating the substance policies
2018-07-25,4 games,Rashard Robinson,CB,New York Jets,Violating the substance policies
2018-07-20,1 game,Dante Fowler Jr.,DE,Jacksonville Jaguars,Violation of the league's personal conduct policy
2018-07-03,2 games,Reuben Foster,LB,San Francisco 49ers,Violating the substance policies
2018-07-03,2 games,Jamon Brown,OG,Los Angeles Rams,Violating the substance policies
2018-07-03,2 games,Aaron Jones,RB,Green Bay Packers,Violating the substance policies
2018-06-29,1 game,Nigel Bradham,LB,Philadelphia Eagles,"Violation of the league's personal conduct policy, stemming from a 2016 arrest"
2018-06-29,4 games,Robert Turbin,RB,Indianapolis Colts,Violating the substance policies
2018-06-28,3 games,Jameis Winston,QB,Tampa Bay Buccaneers,"Violation of the league's personal conduct policy, stemming from a sexual harassment accusation"
2018-06-15,6 games,Roy Miller,DT,Free agent,Undisclosed
2018-06-15,4 games,David Irving,DE,Dallas Cowboys,Violating the substance policies
2018-06-06,4 games,Julian Edelman,WR,New England Patriots,Violating the substance policies
2018-06-01,4 games,Victor Bolden Jr.,WR,San Francisco 49ers,Violating the substance policies
2018-05-22,1 game,Demetrius Harris,TE,Kansas City Chiefs,Violating the substance policies
2018-05-08,4 games,Mark Ingram,RB,New Orleans Saints,Violating the substance policies
2018-05-04,4 games,Akeem Ayers,LB,New York Giants,Violating the substance policies
2018-05-01,4 games,Vadal Alexander,OL,Oakland Raiders,Violating the substance policies
2018-04-30,4 games,Cayleb Jones,WR,Minnesota Vikings,Violating the substance policies
2018-04-20,4 games,Kentrell Brothers,LB,Minnesota Vikings,Violating the substance policies
2018-04-20,4 games,Kent Taylor,TE,Carolina Panthers,Violating the substance policies
2018-04-13,4 games,Mark Sanchez,QB,Free agent,Violating the substance policies
2018-04-12,4 games,Vontaze Burfict,LB,Cincinnati Bengals,Violating the substance policies
2018-04-09,10 games,Jalen Collins,CB,Free agent,Violating the substance policies
2018-04-06,4 games,Thomas Davis Sr.,LB,Carolina Panthers,Violating the substance policies
2018-03-23,4 games,Corey Liuget,DE,Los Angeles Chargers,Violating the substance policies
2018-03-23,4 games,Josh Mauro,DE,New York Giants,Violating the substance policies
2018-03-19,2 games,Josh Huff,WR,New Orleans Saints,Violating the substance policies
2017-12-28,1 game,Eli Apple,CB,New York Giants,Conduct detrimental to the team
2017-12-23,10 games,Khyri Thornton,DT,Free agent,Violating the substance policies
2017-12-18,2 games,Thomas Davis Sr.,LB,Carolina Panthers,Illegal hit on Green Bay Packers wide receiver Davante Adams
2017-12-06,1 game,Marcus Peters,CB,Kansas City Chiefs,Leaving the field of play before the game had ended
2017-12-05,1 game,JuJu Smith-Schuster,WR,Pittsburgh Steelers,Violations of safety-related playing rules
2017-12-05,1 game,George Iloka,FS,Cincinnati Bengals,Violations of safety-related playing rules
